game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_team1
0022301061,1610612740,New Orleans Pelicans,NOP,1,1,-2,9,-0.067,-6,-7,-0.10899999999999999,17,15,0.268,6,-4,2,1,10,1,-8,-6,14.0,-0.014000000000000012,-1.5999999999999943,-3.299999999999997,1.8000000000000003,0.3999999999999986,0.032,-0.0010000000000000009,0.013000000000000012,0.007000000000000006,-2.1999999999999886,1
0022301046,1610612740,New Orleans Pelicans,NOP,0,1,-7,0,-0.08200000000000002,-1,4,-0.07300000000000001,8,9,0.013000000000000012,-2,-6,-8,-2,2,-1,-3,1,-14.0,-0.08299999999999996,-2.299999999999997,0.0,-2.3,0.09999999999999787,0.036000000000000004,0.03500000000000003,0.030000000000000027,0.008000000000000007,-1.7999999999999972,1
0022301027,1610612740,New Orleans Pelicans,NOP,1,0,9,2,0.10099999999999998,0,-7,0.055999999999999994,-5,-1,-0.1359999999999999,-4,-1,-5,7,4,2,-6,-3,26.0,0.44,7.6000000000000085,-6.700000000000003,14.3,1.0999999999999979,0.0030000000000000027,-0.010000000000000009,0.0050000000000000044,-0.01999999999999999,-2.0,1
0022301013,1610612740,New Orleans Pelicans,NOP,1,0,11,-4,0.15200000000000002,5,-11,0.22299999999999998,-4,-3,-0.11699999999999999,5,17,22,3,0,-2,8,4,46.0,0.06799999999999995,3.799999999999997,-0.4000000000000057,4.2,0.29999999999999716,0.03,-0.01100000000000001,0.018000000000000016,0.0030000000000000027,1.9000000000000057,1
0022301004,1610612740,New Orleans Pelicans,NOP,0,0,-5,-8,-0.009000000000000008,-8,-16,-0.08900000000000002,3,2,0.07799999999999996,-7,0,-7,-9,-1,-3,4,2,-30.0,0.041000000000000036,4.6000000000000085,1.0,3.6,1.2999999999999972,-0.010000000000000009,-0.010000000000000009,-0.0030000000000000027,-0.01899999999999999,1.0,1
0022300993,1610612740,New Orleans Pelicans,NOP,1,0,11,-1,0.137,-2,-6,-0.006000000000000005,-7,-9,-0.0040000000000000036,-3,9,6,10,1,1,0,6,26.0,0.22399999999999998,4.200000000000003,-3.700000000000003,7.9,0.5,-0.0040000000000000036,0.008000000000000007,0.015000000000000013,0.0010000000000000009,0.9000000000000057,1
0022300970,1610612740,New Orleans Pelicans,NOP,1,1,10,13,0.03600000000000003,1,0,0.030000000000000027,-2,-2,-0.017000000000000015,0,3,3,13,5,-2,-10,-2,38.0,0.359,9.600000000000009,-5.400000000000006,15.0,2.6999999999999993,-0.02100000000000002,0.03400000000000003,0.02400000000000002,-0.02099999999999999,0.20000000000000284,1
0022300964,1610612740,New Orleans Pelicans,NOP,1,1,5,10,0.0020000000000000018,1,2,0.007000000000000006,-3,1,-0.19699999999999995,4,-1,3,10,2,-6,-4,4,16.0,-0.014000000000000012,-1.5999999999999943,-3.4000000000000057,1.8000000000000003,0.5999999999999979,0.0040000000000000036,0.02300000000000002,0.010000000000000009,-0.0020000000000000018,1.0,1
0022300951,1610612740,New Orleans Pelicans,NOP,0,1,-12,-12,-0.07300000000000001,-16,-23,-0.262,19,23,0.14100000000000001,-1,-2,-3,-16,3,2,2,-5,-42.0,0.008000000000000007,2.1000000000000085,0.29999999999999716,1.8000000000000003,-0.7000000000000028,0.013999999999999985,0.0,0.007000000000000006,-0.0050000000000000044,1.1000000000000085,1
0022300925,1610612740,New Orleans Pelicans,NOP,1,0,5,-16,0.15499999999999997,-3,-19,0.14900000000000002,6,9,-0.04200000000000004,-8,10,2,4,2,3,1,-5,26.0,0.14999999999999997,0.10000000000000853,-7.099999999999994,7.2,1.0999999999999979,-0.030000000000000027,0.02300000000000002,0.010000000000000009,0.0020000000000000018,-2.299999999999997,1
