game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_target_team,is_team1
0022300284,1610612754,Indiana Pacers,IND,1,0,56,85,0.659,16,32,0.5,16,20,0.8,3,29,32,35,4,8,9,24,15.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300267,1610612754,Indiana Pacers,IND,0,0,50,98,0.51,11,43,0.256,21,32,0.656,10,24,34,30,11,5,9,31,-10.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300254,1610612754,Indiana Pacers,IND,0,1,42,88,0.477,8,33,0.242,18,24,0.75,10,32,42,26,10,6,20,24,-4.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300047,1610612754,Indiana Pacers,IND,1,1,49,102,0.48,16,38,0.421,22,24,0.917,15,25,40,24,7,8,8,21,23.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300230,1610612754,Indiana Pacers,IND,0,1,50,91,0.549,18,39,0.462,13,16,0.813,5,26,31,33,10,6,14,24,-1.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300039,1610612754,Indiana Pacers,IND,1,0,57,94,0.606,22,45,0.489,21,28,0.75,7,22,29,35,7,11,13,25,5.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300209,1610612754,Indiana Pacers,IND,0,1,42,95,0.442,8,31,0.258,24,31,0.774,11,29,40,24,10,7,16,32,-12.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300019,1610612754,Indiana Pacers,IND,1,0,48,93,0.516,13,37,0.351,23,33,0.697,10,31,41,32,7,5,11,28,6.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300180,1610612754,Indiana Pacers,IND,0,0,47,90,0.522,16,39,0.41,16,19,0.842,8,24,32,31,8,9,10,14,-11.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300171,1610612754,Indiana Pacers,IND,1,1,44,92,0.478,20,48,0.417,18,20,0.9,9,31,40,27,6,6,11,25,2.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300158,1610612754,Indiana Pacers,IND,1,1,52,101,0.515,13,41,0.317,17,20,0.85,14,32,46,26,14,7,11,15,16.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300146,1610612754,Indiana Pacers,IND,1,1,55,95,0.579,20,38,0.526,22,23,0.957,9,40,49,38,7,4,14,24,41.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300133,1610612754,Indiana Pacers,IND,0,1,45,93,0.484,22,45,0.489,12,16,0.75,11,25,36,31,7,5,14,18,-1.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300001,1610612754,Indiana Pacers,IND,1,1,45,86,0.523,15,31,0.484,16,24,0.667,7,33,40,28,7,5,18,18,5.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300118,1610612754,Indiana Pacers,IND,0,0,46,101,0.455,5,37,0.135,7,12,0.583,8,23,31,26,6,6,9,20,-51.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300102,1610612754,Indiana Pacers,IND,0,1,36,88,0.409,12,46,0.261,21,25,0.84,11,36,47,26,7,5,17,24,-7.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022300091,1610612754,Indiana Pacers,IND,1,0,48,98,0.49,15,38,0.395,14,17,0.824,11,37,48,36,3,4,7,20,12.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
