HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE
1.0,0.41025641025641024,0.6976744186046511,0.32375979112271525,0.29411764705882354,0.38,0.21919770773638972,0.8461538461538461,0.7727272727272727,0.8432732316227461,0.6551724137931034,0.3111111111111111,0.5094339622641509,0.5151515151515151,0.8571428571428571,0.5454545454545454,0.13043478260869568,0.29166666666666663,0.53125,0.19610389610389614,0.16666666666666677,0.4051724137931039,0.26515151515151514,0.4888888888888883,0.7941176470588236,0.31884057971014496,0.3974358974358977,0.8666666666666668,0.3918918918918924
1.0,0.28205128205128205,0.4883720930232558,0.2845953002610964,0.4411764705882353,0.6,0.2707736389684814,0.6153846153846154,0.6363636363636364,0.48959778085991673,0.3793103448275862,0.2666666666666667,0.3207547169811321,0.42424242424242425,0.47619047619047616,0.45454545454545453,0.34782608695652173,0.5833333333333333,0.38541666666666663,0.10649350649350658,0.13333333333333328,0.6896551724137935,0.10984848484848483,0.42222222222222144,0.8333333333333335,0.8405797101449276,0.6153846153846158,0.8888888888888891,0.4459459459459453
0.0,0.6923076923076923,0.5348837209302325,0.7624020887728458,0.47058823529411764,0.38,0.4555873925501433,0.28205128205128205,0.4090909090909091,0.2829403606102636,0.3103448275862069,0.3777777777777778,0.37735849056603776,0.696969696969697,0.5714285714285714,0.5909090909090909,0.2173913043478261,0.41666666666666663,0.59375,0.7857142857142857,0.6047619047619053,0.11206896551724121,0.7386363636363635,0.6444444444444438,0.5098039215686275,0.1884057971014493,0.29487179487179505,0.26666666666666694,0.41891891891891786
0.0,0.7435897435897436,0.3953488372093023,0.8955613577023498,0.6176470588235294,0.30000000000000004,0.6948424068767909,0.3076923076923077,0.36363636363636365,0.3092926490984743,0.6206896551724138,0.7777777777777778,0.8867924528301887,0.5757575757575758,0.38095238095238093,0.40909090909090906,0.8260869565217391,0.7083333333333333,0.6979166666666666,0.3025974025974026,0.4238095238095237,0.6551724137931033,0.35606060606060597,0.4666666666666658,0.7745098039215688,0.1739130434782609,0.46153846153846184,0.7777777777777779,0.9459459459459453
0.0,0.3333333333333333,0.3023255813953488,0.47519582245430797,0.23529411764705882,0.2,0.24785100286532952,0.48717948717948717,0.4772727272727273,0.5797503467406379,0.20689655172413796,0.4,0.339622641509434,0.21212121212121215,0.3333333333333333,0.36363636363636365,0.6521739130434783,0.625,0.3020833333333333,0.2675324675324676,0.4619047619047624,0.7758620689655177,0.33333333333333326,0.6888888888888882,0.3823529411764705,0.1884057971014493,0.19230769230769243,0.2888888888888892,0.824324324324323
0.0,0.7435897435897436,0.46511627906976744,0.856396866840731,0.4117647058823529,0.4,0.36676217765042984,0.23076923076923075,0.22727272727272727,0.4660194174757281,0.3448275862068966,0.6000000000000001,0.5849056603773585,0.7878787878787878,0.42857142857142855,0.5454545454545454,0.4782608695652174,0.7916666666666666,0.59375,0.5051948051948052,0.442857142857143,0.37068965517241376,0.4962121212121211,0.5111111111111108,0.4411764705882353,0.44927536231884063,0.42307692307692335,0.7333333333333334,0.8108108108108102
1.0,0.7179487179487178,0.7906976744186046,0.5926892950391645,0.5,0.52,0.41833810888252154,0.358974358974359,0.38636363636363635,0.4479889042995838,0.4482758620689655,0.4666666666666667,0.5283018867924528,0.8787878787878788,0.6190476190476191,0.40909090909090906,0.043478260869565244,0.4583333333333333,0.65625,0.6805194805194805,0.7000000000000006,0.22413793103448237,0.765151515151515,1.0,0.27450980392156843,0.8260869565217392,0.5384615384615388,0.2444444444444447,0.7162162162162153
1.0,0.5897435897435896,0.7209302325581395,0.5039164490861617,0.5,0.56,0.38538681948424075,0.3333333333333333,0.45454545454545453,0.19833564493758676,0.5862068965517242,0.3777777777777778,0.5283018867924528,0.7878787878787878,0.47619047619047616,0.2272727272727273,0.30434782608695654,0.7083333333333333,0.5416666666666666,0.19610389610389614,0.16666666666666677,0.39655172413793077,0.26515151515151514,0.5333333333333327,0.5196078431372549,0.6666666666666667,0.3589743589743592,0.6666666666666666,0.824324324324323
1.0,0.1538461538461538,0.20930232558139533,0.30809399477806776,0.0,0.06,0.0,0.8974358974358974,0.9545454545454546,0.667128987517337,0.41379310344827586,0.35555555555555557,0.41509433962264153,0.0,0.5238095238095237,0.5909090909090909,0.5652173913043479,0.3333333333333333,0.23958333333333331,0.22467532467532472,0.3428571428571432,0.7155172413793105,0.26515151515151514,0.24444444444444338,0.6176470588235293,0.33333333333333337,0.3205128205128207,0.6,0.8378378378378376
0.0,0.5897435897435896,0.11627906976744184,0.9033942558746735,0.38235294117647056,0.14,0.5888252148997135,0.5641025641025641,0.6363636363636364,0.41331484049930645,0.1724137931034483,0.6222222222222222,0.5094339622641509,0.6060606060606061,0.47619047619047616,0.6363636363636364,0.5217391304347826,0.3333333333333333,0.59375,0.40909090909090906,0.2476190476190479,0.07758620689655227,0.4696969696969696,0.6444444444444438,0.18627450980392124,0.6666666666666667,0.3589743589743592,0.7555555555555556,0.37837837837837773
