2024-03-08 10:47:59,955 - active_players - INFO - Inserted and updated for player: {'full_name': 'Devin Booker', 'id': 1626164}
2024-03-08 10:47:59,996 - active_players - INFO - Inserted and updated for player: {'full_name': 'Brandon Boston Jr.', 'id': 1630527}
2024-03-08 10:48:00,037 - active_players - INFO - Inserted and updated for player: {'full_name': 'Chris Boucher', 'id': 1628449}
2024-03-08 10:48:00,081 - active_players - INFO - Inserted and updated for player: {'full_name': 'James Bouknight', 'id': 1630547}
2024-03-08 10:48:00,123 - active_players - INFO - Inserted and updated for player: {'full_name': 'Malaki Branham', 'id': 1631103}
2024-03-08 10:48:00,175 - active_players - INFO - Inserted and updated for player: {'full_name': 'Christian Braun', 'id': 1631128}
2024-03-08 10:48:00,219 - active_players - INFO - Inserted and updated for player: {'full_name': 'Mikal Bridges', 'id': 1628969}
2024-03-08 10:48:00,259 - active_players - INFO - Inserted and updated for player: {'full_name': 'Miles Bridges', 'id': 1628970}
2024-03-08 10:48:00,300 - active_players - INFO - Inserted and updated for player: {'full_name': 'Oshae Brissett', 'id': 1629052}
2024-03-08 10:48:00,340 - active_players - INFO - Inserted and updated for player: {'full_name': 'Malcolm Brogdon', 'id': 1627763}
2024-03-08 10:48:00,413 - active_players - INFO - Inserted and updated for player: {'full_name': 'Armoni Brooks', 'id': 1629717}
2024-03-08 10:48:00,459 - active_players - INFO - Inserted and updated for player: {'full_name': 'Dillon Brooks', 'id': 1628415}
2024-03-08 10:48:00,500 - active_players - INFO - Inserted and updated for player: {'full_name': 'Bruce Brown', 'id': 1628971}
2024-03-08 10:48:00,540 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jaylen Brown', 'id': 1627759}
2024-03-08 10:48:00,585 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kendall Brown', 'id': 1631112}
2024-03-08 10:48:00,629 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kobe Brown', 'id': 1641738}
2024-03-08 10:48:00,675 - active_players - INFO - Inserted and updated for player: {'full_name': 'Moses Brown', 'id': 1629650}
2024-03-08 10:48:00,719 - active_players - INFO - Inserted and updated for player: {'full_name': 'Greg Brown III', 'id': 1630535}
2024-03-08 10:48:00,764 - active_players - INFO - Inserted and updated for player: {'full_name': 'Charlie Brown Jr.', 'id': 1629718}
2024-03-08 10:48:00,804 - active_players - INFO - Inserted and updated for player: {'full_name': 'Troy Brown Jr.', 'id': 1628972}
2024-03-08 10:48:00,844 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jalen Brunson', 'id': 1628973}
2024-03-08 10:48:00,892 - active_players - INFO - Inserted and updated for player: {'full_name': 'Thomas Bryant', 'id': 1628418}
2024-03-08 10:48:00,937 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kobe Bufkin', 'id': 1641723}
2024-03-08 10:48:00,983 - active_players - INFO - Inserted and updated for player: {'full_name': 'Reggie Bullock Jr.', 'id': 203493}
2024-03-08 10:48:01,024 - active_players - INFO - Inserted and updated for player: {'full_name': 'Alec Burks', 'id': 202692}
2024-03-08 10:48:01,080 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jared Butler', 'id': 1630215}
2024-03-08 10:48:01,125 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jimmy Butler', 'id': 202710}
2024-03-08 10:48:01,168 - active_players - INFO - Inserted and updated for player: {'full_name': 'John Butler Jr.', 'id': 1631219}
2024-03-08 10:48:01,210 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jamal Cain', 'id': 1631288}
2024-03-08 10:48:01,252 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kentavious Caldwell-Pope', 'id': 203484}
2024-03-08 10:48:01,303 - active_players - INFO - Inserted and updated for player: {'full_name': 'Toumani Camara', 'id': 1641739}
2024-03-08 10:48:01,347 - active_players - INFO - Inserted and updated for player: {'full_name': 'Vlatko Cancar', 'id': 1628427}
2024-03-08 10:48:01,388 - active_players - INFO - Inserted and updated for player: {'full_name': 'Clint Capela', 'id': 203991}
2024-03-08 10:48:01,429 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jevon Carter', 'id': 1628975}
2024-03-08 10:48:01,468 - active_players - INFO - Inserted and updated for player: {'full_name': 'Wendell Carter Jr.', 'id': 1628976}
2024-03-08 10:48:01,510 - active_players - INFO - Inserted and updated for player: {'full_name': 'Alex Caruso', 'id': 1627936}
2024-03-08 10:48:01,554 - active_players - INFO - Inserted and updated for player: {'full_name': 'Colin Castleton', 'id': 1630658}
2024-03-08 10:48:01,596 - active_players - INFO - Inserted and updated for player: {'full_name': 'Malcolm Cazalon', 'id': 1630608}
2024-03-08 10:48:01,636 - active_players - INFO - Inserted and updated for player: {'full_name': 'Julian Champagnie', 'id': 1630577}
2024-03-08 10:48:01,678 - active_players - INFO - Inserted and updated for player: {'full_name': 'Max Christie', 'id': 1631108}
2024-03-08 10:48:01,724 - active_players - INFO - Inserted and updated for player: {'full_name': 'Josh Christopher', 'id': 1630528}
2024-03-08 10:48:01,767 - active_players - INFO - Inserted and updated for player: {'full_name': 'Sidy Cissoko', 'id': 1631321}
2024-03-08 10:48:01,807 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jaylen Clark', 'id': 1641740}
2024-03-08 10:48:01,851 - active_players - INFO - Inserted and updated for player: {'full_name': 'Brandon Clarke', 'id': 1629634}
2024-03-08 10:48:01,891 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jordan Clarkson', 'id': 203903}
